"pruid","prname","prnameFR","date","numconf","numprob","numdeaths","numtotal","numtested","numrecover","percentrecover","ratetested","numtoday","percentoday"
47,"Saskatchewan","Saskatchewan","27-04-2020",365,0,5,365,26642,"288","78.90",NA,12,0.034
46,"Manitoba","Manitoba","27-04-2020",261,11,6,272,23149,"205","75.37",NA,1,0.004
35,"Ontario","Ontario","27-04-2020",14856,0,892,14856,234268,"8525","57.38",NA,424,0.029
24,"Quebec","Québec","27-04-2020",24982,0,1599,24982,200172,"5517","22.08",NA,875,0.036
10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","27-04-2020",258,0,3,258,7641,"221","85.66",NA,0,0
13,"New Brunswick","Nouveau-Brunswick","27-04-2020",118,0,0,118,12648,"112","94.92",NA,0,0
12,"Nova Scotia","Nouvelle-Écosse","27-04-2020",900,0,24,900,27437,"509","56.56",NA,27,0.031
11,"Prince Edward Island","Île-du-Prince-Édouard","27-04-2020",26,0,0,26,2726,"24","92.31",NA,0,0
60,"Yukon","Yukon","27-04-2020",11,0,0,11,919,"8","72.73",NA,0,0
61,"Northwest Territories","Territoires du Nord-Ouest","27-04-2020",5,0,0,5,1585,"5","100.00",NA,0,0
62,"Nunavut","Nunavut","27-04-2020",0,0,0,0,369,"0","N/A",NA,0,0
99,"Repatriated travellers","Voyageurs rapatriés","27-04-2020",13,0,NA,13,76,"","",NA,0,0
1,"Canada","Canada","27-04-2020",48489,11,2707,48500,733705,"18268","37.67",NA,1605,0.034
59,"British Columbia","Colombie-Britannique","28-04-2020",2053,0,105,2053,68935,"1231","59.96",NA,55,0.028
48,"Alberta","Alberta","28-04-2020",4850,0,80,4850,131772,"1800","37.11",NA,154,0.033
47,"Saskatchewan","Saskatchewan","28-04-2020",366,0,5,366,26915,"291","79.51",NA,1,0.003
46,"Manitoba","Manitoba","28-04-2020",261,11,6,272,23379,"209","76.84",NA,0,0
35,"Ontario","Ontario","28-04-2020",15381,0,951,15381,244766,"8964","58.28",NA,525,0.035
24,"Quebec","Québec","28-04-2020",25757,0,1682,25757,204472,"5841","22.68",NA,775,0.031
10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","28-04-2020",258,0,3,258,7905,"222","86.05",NA,0,0
13,"New Brunswick","Nouveau-Brunswick","28-04-2020",118,0,0,118,12907,"114","96.61",NA,0,0
12,"Nova Scotia","Nouvelle-Écosse","28-04-2020",915,0,27,915,28108,"522","57.05",NA,15,0.017
11,"Prince Edward Island","Île-du-Prince-Édouard","28-04-2020",27,0,0,27,2726,"24","88.89",NA,1,0.038
60,"Yukon","Yukon","28-04-2020",11,0,0,11,953,"8","72.73",NA,0,0
61,"Northwest Territories","Territoires du Nord-Ouest","28-04-2020",5,0,0,5,1585,"5","100.00",NA,0,0
62,"Nunavut","Nunavut","28-04-2020",0,0,0,0,377,"0","N/A",NA,0,0
99,"Repatriated travellers","Voyageurs rapatriés","28-04-2020",13,0,NA,13,76,"","",NA,0,0
1,"Canada","Canada","28-04-2020",50015,11,2859,50026,754800,"19231","38.44",NA,1526,0.031
59,"British Columbia","Colombie-Britannique","29-04-2020",2087,0,109,2087,71210,"1305","62.53",NA,34,0.017
